Row  Column  Power
7  190  4.0
7  191  4.0
7  192  4.0
7  193  4.0
7  194  4.0
7  195  4.0
7  196  4.0
7  197  4.0
7  198  4.0
7  199  4.0
7  200  4.0
7  201  4.0
7  202  4.0
7  203  4.0
7  204  4.0
7  205  4.0
7  206  4.0
7  207  4.0
7  208  4.0
7  209  4.0
7  297  4.64372420402
7  357  4.25802572548
7  365  5.34695585954
7  389  4.13299442552
7  470  5.02729249657
7  477  4.14977832915
7  480  4.33695670253
8  63  3.49860858691
8  137  4.21343075955
8  170  3.72616942256
8  189  4.0
8  190  4.0
8  191  4.0
8  192  4.0
8  193  4.0
8  194  4.0
8  195  4.0
8  196  4.0
8  197  4.0
8  198  4.0
8  199  4.0
8  200  4.0
8  201  4.0
8  202  4.0
8  203  4.0
8  204  4.0
8  205  4.0
8  206  4.0
8  207  4.0
8  208  4.0
8  209  4.0
8  255  3.55099125921
8  281  3.70834066063
8  289  4.50025896445
8  299  4.23672465647
8  302  3.68142487859
8  319  3.60466484389
8  334  3.88515845651
8  372  3.46577194836
8  386  3.63508314108
8  430  3.94566161716
8  482  4.93835678448
9  82  4.3213034264
9  95  3.85659636219
9  133  3.6950282638
9  148  4.94125629692
9  152  3.9291232035
9  163  4.62908235761
9  189  4.0
9  190  4.0
9  191  4.0
9  192  4.0
9  193  4.0
9  194  4.0
9  195  4.0
9  196  4.0
9  197  4.0
9  198  4.0
9  199  4.0
9  200  4.0
9  201  4.0
9  202  4.0
9  203  4.0
9  204  4.0
9  205  4.0
9  206  4.0
9  207  4.0
9  208  4.0
9  209  4.0
9  219  3.55903785694
9  238  5.12410999209
9  250  4.37077482678
9  285  4.24467050263
9  289  7.95344715668
9  290  4.3430716609
9  295  4.40434690367
9  340  5.22736558559
9  343  3.54444751184
9  373  4.77373129593
9  380  3.80182508953
9  411  3.68917292271
9  494  4.63674971207
10  17  3.43238597416
10  33  4.23304360792
10  52  4.09576688328
10  58  4.67920535594
10  99  3.94930037932
10  114  3.41953268963
10  169  5.71332379045
10  170  5.0294329745
10  186  3.4335257651
10  189  4.0
10  190  4.0
10  191  4.0
10  192  4.0
10  193  4.0
10  194  4.0
10  195  4.0
10  196  4.0
10  197  4.0
10  198  4.0
10  199  4.0
10  200  4.0
10  201  4.0
10  202  4.0
10  203  4.0
10  204  4.0
10  205  4.0
10  206  4.0
10  207  4.0
10  208  4.0
10  209  4.0
10  262  3.91455942293
10  271  3.8049001099
10  295  4.28480031843
10  299  7.0
10  315  4.00057655886
10  333  3.46376873479
10  350  4.12613659399
10  378  3.86145731444
10  440  4.51484504431
10  445  3.6125095254
10  450  3.65331818545
10  461  4.96956587174
11  189  4.0
11  190  4.0
11  191  4.0
11  192  4.0
11  193  4.0
11  194  4.0
11  195  4.0
11  196  4.0
11  197  4.0
11  198  4.0
11  199  4.0
11  200  4.0
11  201  4.0
11  202  4.0
11  203  4.0
11  204  4.0
11  205  4.0
11  206  4.0
11  207  4.0
11  208  4.0
11  209  4.0
11  239  3.58924516213
11  251  5.90498050992
11  299  7.0
11  305  4.46365610264
11  384  5.13606393273
11  386  3.4478066433
11  390  4.60336901137
11  408  3.67372597408
11  428  6.48948713401
11  437  5.78240131267
12  189  4.0
12  190  4.0
12  191  4.0
12  192  4.0
12  193  4.0
12  194  4.0
12  195  4.0
12  196  4.0
12  197  4.0
12  198  4.0
12  199  4.0
12  200  4.0
12  201  4.0
12  202  4.0
12  203  4.0
12  204  4.0
12  205  4.0
12  206  4.0
12  207  4.0
12  208  4.0
12  209  4.0
12  234  5.43020743944
12  281  3.45928810102
12  294  4.52613685247
12  299  7.0
12  320  4.00569980715
12  332  3.89418424005
12  348  3.56158829232
12  359  4.9881245119
12  379  6.89657825533
12  405  3.45437287412
12  434  4.31359492472
12  452  3.91241184229
12  475  4.08248076299
13  4  3.44842378976
13  40  4.07206544496
13  43  3.40175094874
13  70  3.40433965819
13  72  5.79262214184
13  91  3.69312341295
13  157  3.53214465565
13  158  3.45719797633
13  162  4.98831523369
13  164  3.62413439534
13  179  3.80877025619
13  189  4.0
13  190  4.0
13  191  4.0
13  192  4.0
13  193  4.0
13  194  4.0
13  195  4.0
13  196  4.0
13  197  4.0
13  198  4.0
13  199  4.0
13  200  4.0
13  201  4.0
13  202  4.0
13  203  4.0
13  204  4.0
13  205  4.0
13  206  4.0
13  207  4.0
13  208  4.0
13  209  4.0
13  251  4.94509885989
13  296  4.59411749185
13  299  7.0
13  389  4.7348188895
13  390  3.52124589997
13  394  3.4158289176
13  400  4.98679542054
13  417  5.87075073136
13  451  3.61990841931
13  460  4.89165861108
14  4  3.5817910995
14  55  3.42817867413
14  152  3.69241433194
14  159  3.56909900184
14  161  3.50063641317
14  189  4.0
14  190  4.0
14  191  4.0
14  192  4.0
14  193  4.0
14  194  4.0
14  195  4.0
14  196  4.0
14  197  4.0
14  198  4.0
14  199  4.0
14  200  4.0
14  201  4.0
14  202  4.0
14  203  4.0
14  204  4.0
14  205  4.0
14  206  4.0
14  207  4.0
14  208  4.0
14  209  4.0
14  280  3.72241031616
14  299  7.0
14  331  3.42658917822
14  372  5.87486670114
14  389  3.46052658679
14  399  3.59268025228
14  403  5.45664909846
14  476  3.8271189562
15  19  3.60592294106
15  57  3.80207117045
15  117  4.86689858868
15  142  6.19177877615
15  147  3.77660022993
15  189  4.0
15  190  4.0
15  191  4.0
15  192  4.0
15  193  4.0
15  194  4.0
15  195  4.0
15  196  4.0
15  197  4.0
15  198  4.0
15  199  4.0
15  200  4.0
15  201  4.0
15  202  4.0
15  203  4.0
15  204  4.0
15  205  4.0
15  206  4.0
15  207  4.0
15  208  4.0
15  209  4.0
15  215  3.75077373303
15  299  7.0
15  300  3.83697776298
15  353  4.08288568495
15  375  3.4176668582
15  394  3.75619968617
15  490  3.73146988241
16  20  4.15473323017
16  28  5.59629949688
16  56  3.47863101207
16  84  3.49317076943
16  109  4.10586260445
16  154  3.72900889885
16  159  4.60661803418
16  173  3.85725696199
16  189  4.0
16  190  4.0
16  191  4.0
16  192  4.0
16  193  4.0
16  194  4.0
16  195  4.0
16  196  4.0
16  197  4.0
16  198  4.0
16  199  4.0
16  200  4.0
16  201  4.0
16  202  4.0
16  203  4.0
16  204  4.0
16  205  4.0
16  206  4.0
16  207  4.0
16  208  4.0
16  209  4.0
16  262  8.52064892211
16  275  5.02150218484
16  299  7.0
16  314  5.13768022646
16  345  4.04400202806
16  354  4.25238593447
16  357  4.11275668874
16  379  5.51853646319
16  404  4.15080215856
16  417  4.71745373201
16  430  5.41856183467
16  474  6.63629872053
17  100  3.57302946362
17  168  3.6438187475
17  181  4.52041004764
17  189  4.0
17  190  4.0
17  191  4.0
17  192  4.0
17  193  4.0
17  194  4.0
17  195  4.0
17  196  4.0
17  197  4.0
17  198  4.0
17  199  4.0
17  200  4.0
17  201  4.0
17  202  4.0
17  203  4.0
17  204  4.0
17  205  4.0
17  206  4.0
17  207  4.0
17  208  4.0
17  209  4.0
17  253  5.17840046285
17  270  3.72781313758
17  299  7.0
17  349  4.10724017705
17  364  3.81457845742
17  409  5.34401920519
17  498  3.73670288511
18  40  3.90415826509
18  75  4.29387747022
18  87  3.55922599178
18  89  4.86198087144
18  119  6.70843096388
18  171  4.71894311897
18  189  4.0
18  190  4.0
18  191  4.0
18  192  4.0
18  193  4.0
18  194  4.0
18  195  4.0
18  196  4.0
18  197  4.0
18  198  4.0
18  199  4.0
18  200  4.0
18  201  4.0
18  202  4.0
18  203  4.0
18  204  4.0
18  205  4.0
18  206  4.0
18  207  4.0
18  208  4.0
18  209  4.0
18  210  4.02625194984
18  222  4.75497994516
18  236  4.55935479779
18  246  4.59075459143
18  285  3.84641316332
18  286  5.56220457083
18  299  7.0
18  337  4.78607807122
18  352  5.55438734009
18  354  4.15410626128
18  395  5.0724945412
18  399  3.77144363469
18  421  3.84780078548
18  436  5.55207985296
18  476  4.41450783287
18  488  5.27373429824
19  12  4.70846867657
19  28  5.65960230926
19  74  3.43168858993
19  108  4.30221911174
19  114  4.15613921647
19  125  3.76489249198
19  166  4.17700413932
19  189  4.0
19  190  4.0
19  191  4.0
19  192  4.0
19  193  4.0
19  194  4.0
19  195  4.0
19  196  4.0
19  197  4.0
19  198  4.0
19  199  4.0
19  200  4.0
19  201  4.0
19  202  4.0
19  203  4.0
19  204  4.0
19  205  4.0
19  206  4.0
19  207  4.0
19  208  4.0
19  209  4.0
19  233  4.92282857746
19  258  5.33858853101
19  299  7.0
19  308  5.59989124494
19  309  4.23372181437
19  407  3.72892237906
19  410  3.50644517517
19  430  8.0
19  431  8.0
19  432  8.0
19  433  8.0
19  434  8.0
19  435  8.0
19  436  8.0
19  437  8.0
19  438  8.0
19  439  8.0
19  440  8.0
19  441  8.0
19  442  8.0
19  443  8.0
19  444  8.0
19  445  8.0
19  446  8.0
19  447  8.0
19  448  8.0
19  449  8.0
19  450  8.0
19  451  8.0
19  452  8.0
19  453  8.0
19  454  8.0
19  455  8.0
19  456  8.0
19  457  8.0
19  458  8.0
19  459  8.0
19  460  8.0
19  461  8.0
19  462  8.0
19  463  8.0
19  464  8.0
19  465  8.0
19  466  8.0
19  467  8.0
19  468  8.0
19  469  8.0
19  470  8.0
19  471  8.0
19  472  8.0
19  473  8.0
19  474  8.0
19  475  8.0
19  476  8.0
19  477  8.0
19  478  8.0
19  479  8.0
19  480  8.0
19  481  8.0
19  482  8.0
19  483  8.0
19  484  8.0
19  485  8.0
19  486  8.0
19  487  8.0
19  488  8.0
19  489  8.0
19  490  8.0
19  491  8.0
19  492  8.0
19  493  8.0
19  494  8.0
19  495  8.0
19  496  8.0
19  497  8.0
19  498  8.0
19  499  8.0
20  29  5.42094837995
20  59  3.46686030726
20  76  3.83236573136
20  77  4.8167003647
20  131  3.96263246517
20  189  4.0
20  190  4.0
20  191  4.0
20  192  4.0
20  193  4.0
20  194  4.0
20  195  4.0
20  196  4.0
20  197  4.0
20  198  4.0
20  199  4.0
20  200  4.0
20  201  4.0
20  202  4.0
20  203  4.0
20  204  4.0
20  205  4.0
20  206  4.0
20  207  4.0
20  208  4.0
20  209  4.0
20  219  3.69366789858
20  241  3.43750455197
20  291  4.97872287828
20  298  5.97599359637
20  299  7.0
20  329  4.42786658453
20  402  6.68302129164
20  424  4.40247867092
20  434  3.54160578878
20  469  3.57951176956
20  471  4.41243434884
20  478  4.07337636725
20  484  4.63225132718
21  26  3.46396157334
21  33  8.0557387324
21  58  3.47148873395
21  132  4.24638447626
21  160  3.45225927418
21  189  4.0
21  190  4.0
21  191  4.0
21  192  4.0
21  193  4.0
21  194  4.0
21  195  4.0
21  196  4.0
21  197  4.0
21  198  4.0
21  199  4.0
21  200  4.0
21  201  4.0
21  202  4.0
21  203  4.0
21  204  4.0
21  205  4.0
21  206  4.0
21  207  4.0
21  208  4.0
21  209  4.0
21  217  7.45287999866
21  249  3.62470692997
21  265  7.50902572429
21  272  3.74938542038
21  286  3.75545422198
21  289  3.98563395354
21  299  7.0
21  310  4.18702994759
21  350  4.82473201907
21  353  3.66792742804
21  440  3.54202146156
21  466  3.67738405381
21  469  4.44453541806
21  475  5.15708134238
21  497  3.40141467701
22  2  3.75853205142
22  13  4.22610975762
22  21  5.09839080288
22  26  4.97812324783
22  59  4.95568605954
22  109  6.17958822422
22  160  3.69302986682
22  188  3.53279157406
22  189  4.0
22  190  4.0
22  191  4.0
22  192  4.0
22  193  4.0
22  194  4.0
22  195  4.0
22  196  4.0
22  197  4.0
22  198  4.0
22  199  4.0
22  200  4.0
22  201  4.0
22  202  4.0
22  203  4.0
22  204  4.0
22  205  4.0
22  206  4.0
22  207  4.0
22  208  4.0
22  209  4.0
22  212  3.42638353572
22  294  3.69662506922
22  299  7.0
22  311  3.50098306898
22  316  3.56060082442
22  344  4.89951989701
22  369  4.96640228717
22  377  4.07820201379
22  379  3.51149523471
22  451  3.42306528578
22  463  5.17201233073
22  469  4.99818269942
22  474  3.43137572943
22  481  4.78834799419
23  24  4.46109684874
23  48  4.32365265489
23  50  4.28349542753
23  97  5.80115394556
23  111  4.07823361798
23  134  5.12141289461
23  158  4.62635595735
23  159  3.75800252102
23  189  4.0
23  190  4.0
23  191  4.0
23  192  4.0
23  193  4.0
23  194  4.0
23  195  4.0
23  196  4.0
23  197  4.0
23  198  4.0
23  199  4.0
23  200  4.0
23  201  4.0
23  202  4.0
23  203  4.0
23  204  4.0
23  205  4.0
23  206  4.0
23  207  4.0
23  208  4.0
23  209  4.0
23  229  4.54485101764
23  243  3.68825663589
23  264  4.27818721595
23  279  3.4309673183
23  282  5.40934066264
23  299  7.0
23  330  3.87800907846
23  342  3.57526017906
23  352  3.60296015659
23  410  4.89332403986
23  461  4.11507647285
23  464  3.68620755442
23  498  3.54567526663
24  26  4.86540704012
24  34  4.01799545373
24  88  3.74718499842
24  174  4.10074928808
24  189  4.0
24  190  4.0
24  191  4.0
24  192  4.0
24  193  4.0
24  194  4.0
24  195  4.0
24  196  4.0
24  197  4.0
24  198  4.0
24  199  4.0
24  200  4.0
24  201  4.0
24  202  4.0
24  203  4.0
24  204  4.0
24  205  4.0
24  206  4.0
24  207  4.0
24  208  4.0
24  209  4.0
24  290  4.6285474018
24  299  7.0
24  422  3.59305211458
24  434  3.87548468668
24  435  6.12235770066
24  489  3.60726163977
25  2  4.79044839453
25  3  4.5581007555
25  31  3.74620495646
25  44  3.96354594175
25  96  3.52833389538
25  97  5.19976329859
25  144  3.81637790275
25  150  3.97030443164
25  183  3.58253870489
25  189  4.0
25  190  4.0
25  191  4.0
25  192  4.0
25  193  4.0
25  194  4.0
25  195  4.0
25  196  4.0
25  197  4.0
25  198  4.0
25  199  4.0
25  200  4.0
25  201  4.0
25  202  4.0
25  203  4.0
25  204  4.0
25  205  4.0
25  206  4.0
25  207  4.0
25  208  4.0
25  209  4.0
25  269  3.99829845455
25  299  7.0
25  311  4.42394955532
25  315  3.8518241143
25  392  3.95839151626
25  480  3.91616559838
26  14  5.07405077033
26  18  4.58613402149
26  23  4.4131907911
26  31  3.55539810639
26  54  3.87910433482
26  58  3.40092629873
26  100  4.09997629807
26  135  3.96627909143
26  173  5.20637584028
26  180  5.00794598095
26  189  4.0
26  190  4.0
26  191  4.0
26  192  4.0
26  193  4.0
26  194  4.0
26  195  4.0
26  196  4.0
26  197  4.0
26  198  4.0
26  199  4.0
26  200  4.0
26  201  4.0
26  202  4.0
26  203  4.0
26  204  4.0
26  205  4.0
26  206  4.0
26  207  4.0
26  208  4.0
26  209  4.0
26  234  3.70934178451
26  287  3.43100083495
26  299  7.0
26  369  4.43184480901
26  376  6.01790674017
26  381  4.38391436817
26  400  4.22471042054
26  405  3.40208610118
26  420  4.37809470236
26  470  5.41518113976
27  47  3.44208773087
27  59  5.32891722945
27  89  3.64482054674
27  100  3.71205860887
27  108  4.00114959059
27  115  3.5297268022
27  141  3.60880968798
27  149  3.64145075742
27  189  4.0
27  190  4.0
27  191  4.0
27  192  4.0
27  193  4.0
27  194  4.0
27  195  4.0
27  196  4.0
27  197  4.0
27  198  4.0
27  199  4.0
27  200  4.0
27  201  4.0
27  202  4.0
27  203  4.0
27  204  4.0
27  205  4.0
27  206  4.0
27  207  4.0
27  208  4.0
27  209  4.0
27  226  5.02885329165
27  228  3.59779518548
27  236  3.48689065502
27  257  3.67739778456
27  264  4.20698777896
27  273  3.7376973583
27  299  7.0
27  306  3.70104918639
27  315  5.48604351631
27  349  4.6170211553
27  371  5.33835248225
27  418  3.80443067539
27  466  3.43958882357
28  68  4.13300324959
